name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
TOI-4379 b,,0.077,5.9,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4379%20b
TOI-4443.01,,0.01548128,,https://exofop.ipac.caltech.edu/tess/target.php?id=158241252
TOI-4504 c,0.492,0.108,1.9,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4504%20c
TOI-4504 b,0.396,0.0268,1.9,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4504%20b
TOI-4559 b,0.47,0.035,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4559%20b
TOI-4602.01,,0.02019895,,https://exofop.ipac.caltech.edu/tess/target.php?id=467651916
TOI-4633 c,0.33,0.02111,4.39,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4633%20c
TOI-4638.01,,0.0299,,https://exofop.ipac.caltech.edu/tess/target.php?id=58824746
TOI-4641 b,0.78,0.042,86.3,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4641%20b
TOI-4914 b,0.827,0.118,2.4,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4914%20b
TOI-5027 b,0.921,0.106,4.52,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5027%20b
TOI-5082.01,,0.02509838,,https://exofop.ipac.caltech.edu/tess/target.php?id=437011608
TOI-5108 b,0.871,0.0472,3.3,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5108%20b
TOI-5218 b,0.4,0.13,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5218%20b
TOI-5232 b,0.19,0.0656,9.39,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5232%20b
TOI-5301 b,0.6,0.0551,11.8,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5301%20b
TOI-5344 b,0.7348,0.1653,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5344%20b
